Date,Open,High,Low,Close*,Adj Close**,Volume
26-Feb-26,27.26,27.27,26.87,27.1,27.1,"30,497,100"
25-Feb-26,27.06,27.29,26.73,27.09,27.09,"32,680,300"
24-Feb-26,27.14,27.42,27.08,27.14,27.14,"34,686,100"
23-Feb-26,26.56,27.11,26.5,27.06,27.06,"34,166,100"
20-Feb-26,26.71,26.78,26.36,26.65,26.65,"44,786,900"
19-Feb-26,27.37,27.4,26.58,26.86,26.86,"40,316,800"
18-Feb-26,27.44,27.48,27.21,27.37,27.37,"24,779,800"
17-Feb-26,27.84,27.87,27.2,27.37,27.37,"32,119,900"
13-Feb-26,27.6,27.94,27.55,27.58,27.58,"36,986,700"
12-Feb-26,27.65,27.89,27.41,27.47,27.47,"58,805,100"
11-Feb-26,27.55,27.94,27.31,27.73,27.73,"41,699,300"
10-Feb-26,27.18,27.73,27.09,27.61,27.61,"43,760,600"
9-Feb-26,27.18,27.37,26.79,27.05,27.05,"49,288,200"
6-Feb-26,26.67,27.37,26.52,27.22,27.22,"50,691,600"
5-Feb-26,26.76,27.19,26.46,26.49,26.49,"72,650,700"
4-Feb-26,25.88,26.98,25.86,26.78,26.78,"83,025,800"
3-Feb-26,25.36,26.11,25.26,25.77,25.77,"91,964,900"
2-Feb-26,26.42,26.69,26.35,26.66,26.66,"52,129,500"
30-Jan-26,26.13,26.47,25.9,26.44,26.44,"51,599,400"
29-Jan-26,25.9,26.23,25.88,26.1,26.1,"44,373,800"
28-Jan-26,26.27,26.39,25.76,25.86,25.86,"44,976,700"
27-Jan-26,25.94,26.83,25.9,26.5,26.5,"75,575,400"
26-Jan-26,25.63,25.92,25.6,25.88,25.88,"41,441,900"
23-Jan-26,25.58,25.69,25.51,25.65,25.65,"45,402,300"
22-Jan-26,25.9,26.31,25.75,26.1,25.67,"49,883,900"
21-Jan-26,25.47,25.92,25.38,25.89,25.46,"47,264,100"
20-Jan-26,25.43,25.65,25.09,25.52,25.1,"55,425,400"
16-Jan-26,25.89,25.89,25.55,25.65,25.23,"59,470,600"
15-Jan-26,25.55,25.89,25.25,25.89,25.46,"55,263,200"
14-Jan-26,25.23,25.71,25.2,25.58,25.16,"53,738,100"
13-Jan-26,25.32,25.39,24.97,25.15,24.74,"47,656,100"
12-Jan-26,25.58,25.77,25.09,25.27,24.85,"50,256,300"
9-Jan-26,25.34,25.55,25.23,25.48,25.06,"34,190,200"
8-Jan-26,25.18,25.56,25.12,25.29,24.87,"42,977,300"
7-Jan-26,25.59,25.81,25.14,25.28,24.86,"51,395,800"
6-Jan-26,25.19,26.01,25.19,25.43,25.01,"50,977,300"
5-Jan-26,25.2,25.4,24.95,25.17,24.76,"52,620,900"
2-Jan-26,24.98,25.3,24.83,25.18,24.77,"35,976,700"
31-Dec-25,24.97,25.02,24.88,24.9,24.49,"29,409,200"
30-Dec-25,25.01,25.05,24.92,24.99,24.58,"28,821,700"
29-Dec-25,25.05,25.2,24.97,25,24.59,"33,067,700"
26-Dec-25,25.02,25.11,24.92,25.09,24.68,"21,617,800"
24-Dec-25,24.92,25.14,24.91,25.03,24.62,"19,328,500"
23-Dec-25,25.26,25.34,24.83,24.88,24.47,"43,692,900"
22-Dec-25,25.2,25.4,25.13,25.21,24.79,"38,758,900"
19-Dec-25,25.01,25.52,24.98,25.19,24.77,"87,590,000"
18-Dec-25,25.01,25.23,24.98,25.04,24.63,"47,062,500"
17-Dec-25,25.4,25.49,25.03,25.04,24.63,"61,255,300"
16-Dec-25,26.44,26.51,24.92,25.53,25.11,"111,695,500"
15-Dec-25,25.82,26.65,25.81,26.43,25.99,"60,360,000"
12-Dec-25,25.84,26.04,25.72,25.85,25.42,"51,599,700"
11-Dec-25,25.8,26.04,25.61,25.8,25.37,"35,570,200"
10-Dec-25,25.49,25.79,25.22,25.78,25.36,"43,635,400"
9-Dec-25,26,26.13,25.13,25.33,24.91,"43,483,800"
8-Dec-25,26.04,26.19,25.76,25.77,25.35,"45,209,300"
5-Dec-25,25.77,26.12,25.64,26.03,25.6,"47,443,700"
4-Dec-25,25.63,25.74,25.35,25.7,25.28,"35,454,000"
3-Dec-25,25.32,25.89,25.3,25.57,25.15,"56,121,200"
2-Dec-25,25.32,25.32,25.04,25.15,24.74,"43,827,000"
1-Dec-25,25.76,25.94,25.23,25.27,24.85,"53,198,600"
28-Nov-25,25.85,25.86,25.66,25.74,25.32,"22,627,600"
26-Nov-25,25.7,25.81,25.58,25.71,25.29,"33,461,000"
25-Nov-25,25.37,25.97,25.36,25.72,25.3,"39,130,300"
24-Nov-25,25.11,25.47,25.05,25.22,24.8,"63,074,900"
21-Nov-25,24.59,25.52,24.59,25.04,24.63,"73,079,400"
20-Nov-25,24.89,25,24.28,24.4,24,"51,983,200"
19-Nov-25,25.35,25.5,24.72,24.88,24.47,"62,000,200"
18-Nov-25,25.05,25.51,24.98,25.45,25.03,"66,511,800"
17-Nov-25,25.11,25.57,24.95,25.08,24.67,"88,042,200"
14-Nov-25,25.67,25.77,24.97,25.06,24.65,"96,507,600"
13-Nov-25,25.94,26.48,25.67,25.79,25.37,"123,083,100"
12-Nov-25,25.4,25.95,25.25,25.87,25.44,"96,008,000"
11-Nov-25,24.49,25.51,24.44,25.51,25.09,"139,673,800"
10-Nov-25,24.66,24.89,23.91,24.39,23.99,"148,958,600"
7-Nov-25,24.33,24.63,24.11,24.43,24.03,"117,794,500"
6-Nov-25,24.75,25.13,24.54,24.85,24.02,"124,137,200"
5-Nov-25,24.38,24.67,24.16,24.61,23.79,"107,240,900"
4-Nov-25,24.39,25.2,24.2,24.3,23.49,"166,162,000"
3-Nov-25,24.59,24.75,24.41,24.66,23.83,"140,871,300"
31-Oct-25,24.28,24.73,24.16,24.65,23.82,"132,697,400"
30-Oct-25,24.31,24.7,24.15,24.29,23.48,"157,478,000"
29-Oct-25,24.53,24.63,24.23,24.29,23.48,"65,438,400"
28-Oct-25,24.78,24.78,24.38,24.5,23.68,"50,152,400"
27-Oct-25,24.74,24.8,24.63,24.77,23.94,"34,974,900"
24-Oct-25,24.7,24.83,24.68,24.76,23.93,"27,429,200"
23-Oct-25,24.76,24.78,24.51,24.67,23.84,"34,219,900"
22-Oct-25,24.79,24.93,24.62,24.72,23.89,"48,662,900"
21-Oct-25,24.72,24.96,24.6,24.85,24.02,"40,726,900"
20-Oct-25,24.57,24.73,24.51,24.69,23.86,"35,856,800"
17-Oct-25,24.2,24.53,24.16,24.51,23.69,"40,101,900"
16-Oct-25,24.44,24.61,24.21,24.23,23.42,"44,390,000"
15-Oct-25,24.49,24.58,24.21,24.39,23.57,"47,729,800"
14-Oct-25,24.65,24.79,24.48,24.52,23.7,"42,277,000"
13-Oct-25,24.84,24.95,24.61,24.73,23.9,"45,356,600"
10-Oct-25,25.26,25.42,24.62,24.78,23.95,"64,963,900"
9-Oct-25,25.78,25.9,25.21,25.24,24.39,"47,278,700"
8-Oct-25,26.42,26.5,25.63,25.68,24.82,"48,693,300"
7-Oct-25,26.42,26.58,26.05,26.27,25.39,"47,744,200"
6-Oct-25,27.27,27.36,26.39,26.43,25.54,"62,945,600"
3-Oct-25,27.2,27.69,27.04,27.37,26.45,"70,524,000"
2-Oct-25,26.93,27.17,26.62,27.08,26.17,"69,684,100"
1-Oct-25,25.97,27.45,25.58,27.21,26.3,"150,879,900"
30-Sep-25,23.85,25.63,23.81,25.48,24.63,"164,867,300"
29-Sep-25,23.79,23.86,23.64,23.85,23.05,"39,184,300"
26-Sep-25,23.73,23.81,23.61,23.76,22.96,"33,374,500"
25-Sep-25,24.09,24.15,23.58,23.6,22.81,"56,738,300"
24-Sep-25,24.17,24.18,23.98,24.09,23.28,"39,669,400"
23-Sep-25,24.1,24.36,24.05,24.13,23.32,"38,955,200"
22-Sep-25,24.28,24.8,24.03,24.04,23.23,"67,863,300"
19-Sep-25,24.25,24.25,23.82,24.03,23.23,"86,577,600"
18-Sep-25,24.05,24.24,23.96,24.15,23.34,"34,419,000"
17-Sep-25,23.98,24.39,23.9,24.05,23.24,"46,351,600"
16-Sep-25,23.96,24.22,23.87,23.9,23.1,"57,010,800"
15-Sep-25,23.99,24.12,23.68,23.97,23.17,"50,760,200"
12-Sep-25,24.81,24.84,23.84,23.87,23.07,"81,378,200"
11-Sep-25,24.6,24.86,24.54,24.86,24.03,"36,784,100"
10-Sep-25,24.64,24.65,24.45,24.57,23.75,"32,975,900"
9-Sep-25,24.55,24.79,24.51,24.71,23.88,"32,751,300"
8-Sep-25,24.9,24.97,24.31,24.55,23.73,"49,242,900"
5-Sep-25,24.57,24.89,24.51,24.88,24.05,"34,613,200"
4-Sep-25,24.78,24.78,24.35,24.54,23.72,"41,695,500"
3-Sep-25,24.88,25.12,24.72,24.79,23.96,"30,957,600"
2-Sep-25,24.73,25.07,24.71,24.98,24.14,"44,725,000"
29-Aug-25,24.68,24.88,24.51,24.76,23.93,"37,030,000"
28-Aug-25,25.07,25.07,24.51,24.6,23.78,"44,306,800"
27-Aug-25,25.01,25.17,24.85,25.07,24.23,"31,840,300"
26-Aug-25,25.14,25.24,24.87,24.92,24.09,"43,938,700"
25-Aug-25,25.88,25.89,25.11,25.14,24.3,"32,684,200"
22-Aug-25,25.9,26.11,25.76,25.88,25.01,"34,560,500"
21-Aug-25,25.41,25.89,25.37,25.74,24.88,"37,068,100"
20-Aug-25,25.39,25.69,25.34,25.38,24.53,"38,111,000"
19-Aug-25,25.14,25.43,25.1,25.32,24.47,"29,170,500"
18-Aug-25,25.14,25.23,25.01,25.07,24.23,"35,623,300"
15-Aug-25,25.22,25.3,24.97,25.14,24.3,"31,844,800"
14-Aug-25,25.09,25.18,24.82,25.11,24.27,"32,514,000"
13-Aug-25,24.75,25.2,24.74,25.16,24.32,"40,176,500"
12-Aug-25,24.66,24.77,24.47,24.65,23.82,"34,402,700"
11-Aug-25,24.6,24.92,24.53,24.58,23.76,"38,115,700"
8-Aug-25,24.29,24.61,24.16,24.58,23.76,"36,377,000"
7-Aug-25,24.17,24.47,23.94,24.23,23.42,"45,494,400"
6-Aug-25,24.68,24.71,23.86,23.93,23.13,"65,689,200"
5-Aug-25,24.27,24.89,24.27,24.75,23.92,"113,955,100"
4-Aug-25,23.44,23.68,23.4,23.53,22.74,"57,010,700"
1-Aug-25,23.3,23.52,23.11,23.49,22.7,"51,332,700"
31-Jul-25,23.6,23.84,23.14,23.29,22.51,"62,768,300"
30-Jul-25,24.32,24.4,23.8,23.81,23.01,"35,649,500"
29-Jul-25,24.31,24.33,23.93,24.3,23.49,"38,499,800"
28-Jul-25,24.68,24.73,24.24,24.31,23.5,"31,096,600"
25-Jul-25,24.97,24.97,24.62,24.79,23.96,"35,643,400"
24-Jul-25,25.39,25.54,25.26,25.35,24.09,"25,672,400"
23-Jul-25,25.38,25.53,25.25,25.36,24.09,"42,073,300"
22-Jul-25,24.37,25.14,24.34,25.14,23.89,"48,091,600"
21-Jul-25,24.59,24.65,24.26,24.26,23.05,"33,663,400"
18-Jul-25,24.71,24.78,24.39,24.47,23.25,"36,309,400"
17-Jul-25,24.49,24.78,24.45,24.58,23.35,"47,393,900"
16-Jul-25,24.68,24.96,24.53,24.61,23.38,"44,218,200"
15-Jul-25,25.34,25.44,24.53,24.61,23.38,"54,458,000"
